model_key,dim_key,q_gate,sev_sum_gate,require_rule_match,recall,acc,delta_recall_vs_nollm,delta_acc_vs_nollm,pass_acc_guard,result_csv
hms5c4040ble640,compact9,0.55,0.8,0,0.0,99.930651874,-36.666666668,-0.034674065999979575,True,/root/autodl-tmp/StreamDFP/hi7_example/phase3_hms5c4040ble640_compact9_q55_s08_r0_D10_H05000_i10.csv
hms5c4040ble640,compact9,0.55,0.8,1,0.0,99.930651874,-36.666666668,-0.034674065999979575,True,/root/autodl-tmp/StreamDFP/hi7_example/phase3_hms5c4040ble640_compact9_q55_s08_r1_D10_H05000_i10.csv
st3000dm001,compact9,0.55,0.8,1,63.743431380000004,98.08121961399999,28.015697101,0.6634247810000033,True,/root/autodl-tmp/StreamDFP/hi7_example/phase3_st3000dm001_compact9_q55_s08_r1_D10_H05000_i10.csv
st3000dm001,compact9,0.0,0.8,1,63.638080208999995,98.10465373400001,27.91034592999999,0.6868589010000221,True,/root/autodl-tmp/StreamDFP/hi7_example/phase3_st3000dm001_compact9_q00_s08_r1_D10_H05000_i10.csv
st3000dm001,compact9,0.35,0.8,1,63.638080208999995,98.10465373400001,27.91034592999999,0.6868589010000221,True,/root/autodl-tmp/StreamDFP/hi7_example/phase3_st3000dm001_compact9_q35_s08_r1_D10_H05000_i10.csv
st3000dm001,compact9,0.55,0.8,0,63.440184015,98.08172143,27.712449735999996,0.6639265970000139,True,/root/autodl-tmp/StreamDFP/hi7_example/phase3_st3000dm001_compact9_q55_s08_r0_D10_H05000_i10.csv
st3000dm001,compact9,0.0,0.8,0,63.11854200399999,98.090696218,27.390807724999988,0.6729013850000172,True,/root/autodl-tmp/StreamDFP/hi7_example/phase3_st3000dm001_compact9_q00_s08_r0_D10_H05000_i10.csv
st3000dm001,compact9,0.35,0.8,0,63.11854200399999,98.090696218,27.390807724999988,0.6729013850000172,True,/root/autodl-tmp/StreamDFP/hi7_example/phase3_st3000dm001_compact9_q35_s08_r0_D10_H05000_i10.csv
st3000dm001,compact9,0.55,0.0,0,59.06931485199999,98.039110458,23.341580572999987,0.6213156250000083,True,/root/autodl-tmp/StreamDFP/hi7_example/phase3_st3000dm001_compact9_q55_s00_r0_D10_H05000_i10.csv
st3000dm001,compact9,0.55,0.0,1,58.92225602799999,98.03399536799999,23.19452174899999,0.6162005350000044,True,/root/autodl-tmp/StreamDFP/hi7_example/phase3_st3000dm001_compact9_q55_s00_r1_D10_H05000_i10.csv
st3000dm001,compact9,0.0,0.0,1,58.196314072999996,97.992537348,22.468579793999993,0.5747425150000112,True,/root/autodl-tmp/StreamDFP/hi7_example/phase3_st3000dm001_compact9_q00_s00_r1_D10_H05000_i10.csv
st3000dm001,compact9,0.35,0.0,1,58.196314072999996,97.992537348,22.468579793999993,0.5747425150000112,True,/root/autodl-tmp/StreamDFP/hi7_example/phase3_st3000dm001_compact9_q35_s00_r1_D10_H05000_i10.csv
